frame_idx,arousal
1,0.008530
2,0.008530
3,0.008530
4,0.008530
5,0.008530
6,0.008530
7,0.008530
8,0.008530
9,0.008530
10,0.008530
11,0.008530
12,0.008530
13,0.008530
14,0.008530
15,0.008530
16,0.008530
17,0.008530
18,0.008530
19,0.008530
20,0.008530
21,0.008530
22,0.008530
23,0.008530
24,0.008530
25,0.008530
26,0.008530
27,0.008530
28,0.008530
29,0.008530
30,0.008530
31,0.008530
32,0.008530
33,0.008530
34,0.016775
35,0.040907
36,0.041433
37,0.041433
38,0.041433
39,0.041433
40,0.041433
41,0.041433
42,0.048936
43,0.055347
44,0.058358
45,0.072207
46,0.074336
47,0.074336
48,0.074336
49,0.074336
50,0.074336
51,0.074336
52,0.074336
53,0.074336
54,0.074336
55,0.080097
56,0.088185
57,0.102341
58,0.120864
59,0.138172
60,0.136945
61,0.184138
62,0.214634
63,0.225119
64,0.226187
65,0.236733
66,0.243001
67,0.257135
68,0.264448
69,0.298494
70,0.317069
71,0.338019
72,0.366037
73,0.385208
74,0.424381
75,0.441890
76,0.463969
77,0.480586
78,0.498780
79,0.517805
80,0.529059
81,0.561473
82,0.565955
83,0.571682
84,0.579869
85,0.579969
86,0.579969
87,0.579969
88,0.579969
89,0.579969
90,0.579969
91,0.579969
92,0.579969
93,0.579969
94,0.579969
95,0.579969
96,0.579969
97,0.579969
98,0.580704
99,0.584073
100,0.556046
101,0.547488
102,0.548650
103,0.570438
104,0.579969
105,0.579969
106,0.579969
107,0.579969
108,0.579969
109,0.579969
110,0.579969
111,0.579969
112,0.579969
113,0.579969
114,0.545972
115,0.536358
116,0.536358
117,0.536358
118,0.526304
119,0.495418
120,0.478440
121,0.475425
122,0.461316
123,0.459051
124,0.459051
125,0.459051
126,0.460573
127,0.483530
128,0.491953
129,0.491953
130,0.491953
131,0.491953
132,0.491953
133,0.491953
134,0.491953
135,0.491953
136,0.475274
137,0.484113
138,0.491953
139,0.479447
140,0.459791
141,0.465501
142,0.489554
143,0.491953
144,0.491953
145,0.491953
146,0.491953
147,0.491953
148,0.491953
149,0.491953
150,0.491953
151,0.491953
152,0.491953
153,0.491953
154,0.491953
155,0.491953
156,0.496985
157,0.501089
158,0.501093
159,0.501093
160,0.501093
161,0.501093
162,0.501093
163,0.501093
164,0.501093
165,0.501093
166,0.501093
167,0.501093
168,0.501093
169,0.501093
170,0.500520
171,0.481802
172,0.468190
173,0.468190
174,0.468190
175,0.468190
176,0.483436
177,0.496227
178,0.489301
179,0.527087
180,0.520200
181,0.533905
182,0.551089
183,0.553852
184,0.573196
185,0.548055
186,0.549567
187,0.573934
188,0.576647
189,0.576647
190,0.576647
191,0.576647
192,0.576647
193,0.565876
194,0.546099
195,0.512574
196,0.485094
197,0.456636
198,0.451062
199,0.471799
200,0.467486
201,0.466989
202,0.466989
203,0.466989
204,0.465022
205,0.451485
206,0.447958
207,0.447958
208,0.447958
209,0.447958
210,0.447958
211,0.447958
212,0.453044
213,0.452561
214,0.438562
215,0.456454
216,0.457707
217,0.457707
218,0.457707
219,0.455308
220,0.446370
221,0.445813
222,0.444262
223,0.434462
224,0.426766
225,0.414462
226,0.414096
227,0.414096
228,0.414096
229,0.414096
230,0.414096
231,0.414096
232,0.404963
233,0.401409
234,0.401409
235,0.393842
236,0.389515
237,0.366841
238,0.339170
239,0.327833
240,0.327833
241,0.325521
242,0.318801
243,0.308563
244,0.305904
245,0.316692
246,0.345733
247,0.346697
248,0.346697
249,0.346697
250,0.346697
251,0.346697
252,0.346697
253,0.346697
254,0.346697
255,0.346697
256,0.344603
257,0.312685
258,0.294905
259,0.294905
260,0.294905
261,0.294905
262,0.294905
263,0.294905
264,0.294905
265,0.294905
266,0.294905
267,0.294905
268,0.297977
269,0.321834
270,0.327808
271,0.327808
272,0.327808
273,0.327808
274,0.327808
275,0.327808
276,0.327808
277,0.327808
278,0.327808
279,0.327808
280,0.327808
281,0.327808
282,0.327808
283,0.327808
284,0.327808
285,0.327808
286,0.327808
287,0.327808
288,0.327808
289,0.327808
290,0.327808
291,0.327808
292,0.327808
293,0.327808
294,0.327808
295,0.327808
296,0.327808
297,0.327808
298,0.327808
299,0.327808
300,0.327808
301,0.327808
302,0.327808
303,0.327808
304,0.327808
305,0.327808
306,0.327808
307,0.327808
308,0.327808
309,0.327808
310,0.327808
311,0.327808
312,0.327808
313,0.327808
314,0.327808
315,0.327808
316,0.327808
317,0.327808
318,0.327808
319,0.327808
320,0.327808
321,0.327808
322,0.327808
323,0.327808
324,0.327808
325,0.327808
326,0.327808
327,0.327808
328,0.327808
329,0.327808
330,0.323146
331,0.299620
332,0.294905
333,0.294905
334,0.301818
335,0.316997
336,0.296536
337,0.294905
338,0.294905
339,0.294905
340,0.294905
341,0.294905
342,0.294905
343,0.294528
344,0.285299
345,0.280891
346,0.280891
347,0.280891
348,0.280891
349,0.280891
350,0.280891
351,0.280891
352,0.280891
353,0.280891
354,0.280891
355,0.280891
356,0.280891
357,0.283780
358,0.308643
359,0.313794
360,0.313794
361,0.312811
362,0.305329
363,0.304045
364,0.304045
365,0.304045
366,0.304045
367,0.304045
368,0.299443
369,0.294905
370,0.294905
371,0.294905
372,0.294905
373,0.294905
374,0.294905
375,0.294905
376,0.294905
377,0.294905
378,0.294905
379,0.294905
380,0.294905
381,0.294905
382,0.294905
383,0.294905
384,0.294905
385,0.294905
386,0.294905
387,0.294905
388,0.294905
389,0.294905
390,0.294905
391,0.294905
392,0.297694
393,0.323014
394,0.327808
395,0.327808
396,0.328956
397,0.330229
398,0.294905
399,0.294905
400,0.294905
401,0.295145
402,0.312824
403,0.344186
404,0.341329
405,0.315862
406,0.313794
407,0.313794
408,0.313794
409,0.313794
410,0.318052
411,0.341919
412,0.346697
413,0.346697
414,0.346697
415,0.345816
416,0.325737
417,0.313794
418,0.313794
419,0.313794
420,0.313794
421,0.313794
422,0.313794
423,0.313794
424,0.313794
425,0.313794
426,0.313794
427,0.313794
428,0.313794
429,0.313794
430,0.313794
431,0.313794
432,0.313794
433,0.313794
434,0.313794
435,0.313794
436,0.313794
437,0.313794
438,0.313794
439,0.313794
440,0.313486
441,0.306684
442,0.303934
443,0.299479
444,0.294905
445,0.294905
446,0.294905
447,0.294905
448,0.294905
449,0.294905
450,0.288599
451,0.280891
452,0.280891
453,0.290160
454,0.313794
455,0.313794
456,0.313794
457,0.313794
458,0.313794
459,0.309996
460,0.287456
461,0.294737
462,0.269274
463,0.242278
464,0.258860
465,0.293812
466,0.296406
467,0.303837
468,0.304045
469,0.304045
470,0.304045
471,0.304259
472,0.311015
473,0.280868
474,0.258604
475,0.247989
476,0.247989
477,0.248067
478,0.261137
479,0.280891
480,0.275170
481,0.247989
482,0.247981
483,0.246245
484,0.238240
485,0.238240
486,0.238240
487,0.238240
488,0.238240
489,0.238240
490,0.238240
491,0.238240
492,0.238240
493,0.238240
494,0.238240
495,0.238240
496,0.238240
497,0.238240
498,0.238240
499,0.238240
500,0.238240
501,0.238240
502,0.238240
503,0.238240
504,0.238240
505,0.238240
506,0.238240
507,0.238240
508,0.238240
509,0.238240
510,0.238240
511,0.238240
512,0.238240
513,0.238240
514,0.238240
515,0.238240
516,0.238240
517,0.238240
518,0.238240
519,0.238240
520,0.238240
521,0.238240
522,0.238240
523,0.238240
524,0.238240
525,0.238240
526,0.238699
527,0.268471
528,0.280891
529,0.268368
530,0.243755
531,0.238240
532,0.238240
533,0.256427
534,0.271142
535,0.271142
536,0.271142
537,0.271142
538,0.272056
539,0.280250
540,0.263216
541,0.260618
542,0.283288
543,0.303248
544,0.310107
545,0.313794
546,0.313794
547,0.314183
548,0.370663
549,0.382397
550,0.382521
551,0.382521
