frame_idx,arousal
1,-0.254056
2,-0.254056
3,-0.254056
4,-0.254056
5,-0.254056
6,-0.254056
7,-0.254056
8,-0.254056
9,-0.254056
10,-0.254056
11,-0.254056
12,-0.254056
13,-0.254056
14,-0.252962
15,-0.247235
16,-0.253997
17,-0.254056
18,-0.254056
19,-0.254056
20,-0.254056
21,-0.254056
22,-0.254056
23,-0.253737
24,-0.244860
25,-0.253211
26,-0.251413
27,-0.253921
28,-0.252729
29,-0.253235
30,-0.254056
31,-0.254056
32,-0.254056
33,-0.252746
34,-0.241368
35,-0.249306
36,-0.250156
37,-0.250721
38,-0.254013
39,-0.253438
40,-0.245700
41,-0.250615
42,-0.254036
43,-0.254056
44,-0.254056
45,-0.250826
46,-0.242384
47,-0.252209
48,-0.253499
49,-0.262097
50,-0.262791
51,-0.262985
52,-0.267327
53,-0.271965
54,-0.272108
55,-0.271835
56,-0.269893
57,-0.276676
58,-0.279989
59,-0.272630
60,-0.277022
61,-0.279642
62,-0.276176
63,-0.280713
64,-0.283070
65,-0.291682
66,-0.295081
67,-0.293063
68,-0.294968
69,-0.295809
70,-0.300694
71,-0.303783
72,-0.304696
73,-0.304718
74,-0.304718
75,-0.304718
76,-0.304718
77,-0.304718
78,-0.304718
79,-0.304718
80,-0.304718
81,-0.304718
82,-0.304718
83,-0.304718
84,-0.304371
85,-0.302518
86,-0.304630
87,-0.309764
88,-0.314035
89,-0.312075
90,-0.312376
91,-0.313980
92,-0.314035
93,-0.313890
94,-0.311668
95,-0.313838
96,-0.314035
97,-0.310913
98,-0.311615
99,-0.313995
100,-0.317594
101,-0.322638
102,-0.323353
103,-0.323353
104,-0.321388
105,-0.318991
106,-0.323205
107,-0.323353
108,-0.323353
109,-0.323353
110,-0.323353
111,-0.322870
112,-0.321262
113,-0.323270
114,-0.323353
115,-0.323353
116,-0.323353
117,-0.323353
118,-0.323353
119,-0.323353
120,-0.323353
121,-0.323353
122,-0.321254
123,-0.317365
124,-0.323181
125,-0.323353
126,-0.323353
127,-0.323353
128,-0.323353
129,-0.322678
130,-0.320961
131,-0.323236
132,-0.323353
133,-0.323353
134,-0.321855
135,-0.318053
136,-0.322705
137,-0.323353
138,-0.318127
139,-0.321433
140,-0.323335
141,-0.323353
142,-0.322313
143,-0.322740
144,-0.323353
145,-0.322561
146,-0.317608
147,-0.322634
148,-0.323353
149,-0.322793
150,-0.320171
151,-0.321431
152,-0.323150
153,-0.323353
154,-0.322471
155,-0.321498
156,-0.323353
157,-0.323353
158,-0.323353
159,-0.323353
160,-0.323353
161,-0.323353
162,-0.323353
163,-0.323353
164,-0.322686
165,-0.321203
166,-0.323353
167,-0.323353
