frame_idx,valence
1,0.005378
2,0.005378
3,0.005378
4,0.005378
5,0.005378
6,0.005378
7,0.005378
8,0.005378
9,0.005378
10,0.005649
11,0.007582
12,0.005496
13,0.005378
14,0.005378
15,0.005378
16,0.005378
17,0.005378
18,0.005378
19,0.005378
20,0.005378
21,0.005378
22,0.005378
23,0.005378
24,0.005378
25,0.005378
26,0.005378
27,0.005378
28,0.005378
29,0.005378
30,0.005378
31,0.005378
32,0.005378
33,0.005378
34,0.005378
35,0.005378
36,0.005378
37,0.005378
38,0.005378
39,0.005378
40,0.005378
41,0.005378
42,0.005378
43,0.005378
44,0.007448
45,0.006907
46,0.005394
47,0.005378
48,0.005378
49,0.005378
50,0.005378
51,0.005378
52,0.005426
53,0.007166
54,0.006488
55,0.005378
56,0.005378
57,0.005378
58,0.005378
59,0.005378
60,0.005378
61,0.005378
62,0.005378
63,0.005378
64,0.005378
65,0.001545
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
88,0.000000
89,0.000000
90,0.000000
91,0.000000
92,0.000000
93,0.000000
94,0.000000
95,0.000000
96,0.000000
97,0.000000
98,0.000000
99,0.000000
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,0.000789
110,0.003132
111,0.005174
112,0.005378
113,0.005378
114,0.005378
115,0.005378
116,0.005378
117,0.012353
118,0.019682
119,0.020187
120,0.028631
121,0.029279
122,0.029279
123,0.029279
124,0.029279
125,0.029279
126,0.029279
127,0.029279
128,0.030079
129,0.035069
130,0.031927
131,0.034029
132,0.029493
133,0.029339
134,0.030382
135,0.034717
136,0.036496
137,0.039033
138,0.044660
139,0.040059
140,0.039794
141,0.054799
142,0.055740
143,0.055740
144,0.055740
145,0.055740
146,0.056408
147,0.062137
148,0.070081
149,0.070081
150,0.070081
151,0.070081
152,0.071937
153,0.077286
154,0.083831
155,0.097234
156,0.102155
157,0.102155
158,0.102155
159,0.103197
160,0.109303
161,0.114984
162,0.115487
163,0.122302
164,0.133426
165,0.133426
166,0.137419
167,0.145434
168,0.146256
169,0.146256
170,0.146256
171,0.146256
172,0.146256
173,0.146256
174,0.154815
175,0.166421
176,0.175978
177,0.178330
178,0.179500
179,0.187353
180,0.205473
181,0.220563
182,0.233754
183,0.245699
184,0.255296
185,0.255296
186,0.255296
187,0.255296
188,0.255296
189,0.255296
190,0.255296
191,0.255296
192,0.255296
193,0.255296
194,0.255296
195,0.255296
196,0.255296
197,0.255296
198,0.255296
199,0.255296
200,0.255296
201,0.255296
202,0.255296
203,0.255296
204,0.255296
205,0.255296
206,0.255296
207,0.255296
208,0.256861
209,0.260425
210,0.256055
211,0.255675
212,0.259783
213,0.259009
214,0.255464
215,0.255296
216,0.255296
217,0.255296
218,0.255296
219,0.255296
220,0.255296
221,0.255296
222,0.256993
223,0.267057
224,0.269636
225,0.269636
226,0.269636
227,0.269636
228,0.269636
229,0.269636
230,0.269636
231,0.269636
232,0.271818
233,0.278596
234,0.288544
